id,title,author,genre,publisher,year,author_set,author_set_str,book_id,total_sold
21693,Wolfenstein 2: The New Colossus,Alec Ziemann,Mythopoeia,Viking Press,2022,frozenset({'alec ziemann'}),alec ziemann,21693,18
21875,The Glory and the Dream,Elvina Nader,Horror,Sams Publishing,2024,frozenset({'elvina nader'}),elvina nader,21875,26
21728,The Heart Is a Lonely Hunter,"Rep. Bridgett Rosenbaum, Laureen Herzog, Charlsie Cummerata",Horror,Booktrope,2019,"frozenset({'rep. bridgett rosenbaum', 'laureen herzog', 'charlsie cummerata'})","charlsie cummerata,laureen herzog,rep. bridgett rosenbaum",21728,26
21328,The Millstone,Reuben Mayert,Reference book,Parachute Publishing,2023,frozenset({'reuben mayert'}),reuben mayert,21328,17
21644,Left 4 Dead 2,Cruz Abshire MD,Mystery,Pantheon Books at Random House,2000,frozenset({'cruz abshire md'}),cruz abshire md,21644,20
21796,A Time of Gifts,Rico Zemlak,Comic/Graphic Novel,Libertas Academica,1999,frozenset({'rico zemlak'}),rico zemlak,21796,19
21662,PokÃ©mon Black,Sen. Jackson Gutmann,Short story,HarperTrophy,2023,frozenset({'sen. jackson gutmann'}),sen. jackson gutmann,21662,12
21998,Tender Is the Night,Miss Wade Lebsack,Comic/Graphic Novel,Pen and Sword Books,1980,frozenset({'miss wade lebsack'}),miss wade lebsack,21998,24
21481,Oldeuboi,Ted Rutherford,Classic,Eel Pie Publishing,0,frozenset({'ted rutherford'}),ted rutherford,21481,34
21623,Highway Blossoms,"Marlon Casper, Boyce Hoeger",Horror,Banner of Truth Trust,2024,"frozenset({'boyce hoeger', 'marlon casper'})","boyce hoeger,marlon casper",21623,18
21795,The Skull Beneath the Skin,Kristeen Kessler CPA,Science fiction,University of Alaska Press,2013,frozenset({'kristeen kessler cpa'}),kristeen kessler cpa,21795,21
21633,The Godfather: Part II,Miss Wade Lebsack,Suspense/Thriller,Ian Allan Publishing,2008,frozenset({'miss wade lebsack'}),miss wade lebsack,21633,3
21802,PokÃ©mon Shield,Lonnie Hilpert,Mythology,Chick Publications,2012,frozenset({'lonnie hilpert'}),lonnie hilpert,21802,15
21744,Bat Out of Hell,"Lawrence Hauck, Sean Kassulke",Realistic fiction,Ellora's Cave,2011,"frozenset({'lawrence hauck', 'sean kassulke'})","lawrence hauck,sean kassulke",21744,18
21950,L.A. Confidential,Shirlene Toy,Comic/Graphic Novel,Oberon Books,2005,frozenset({'shirlene toy'}),shirlene toy,21950,27
21369,Django Unchained,"Edmundo Oberbrunner, Bernard Bayer, Amb. Elia Lebsack",Science fiction,Earthscan,1993,"frozenset({'amb. elia lebsack', 'edmundo oberbrunner', 'bernard bayer'})","amb. elia lebsack,bernard bayer,edmundo oberbrunner",21369,24
21306,That Hideous Strength,Rossana Cruickshank,Textbook,Chambers Harrap,2008,frozenset({'rossana cruickshank'}),rossana cruickshank,21306,19
21834,Oops!... I Did It Again,"Mercedez Welch, Alphonso Gulgowski",Mystery,Burns & Oates,2014,"frozenset({'mercedez welch', 'alphonso gulgowski'})","alphonso gulgowski,mercedez welch",21834,23
21700,Star Wars: Episode VII - The Force Awakens,Gonzalo Macejkovic,Crime/Detective,Felony & Mayhem Press,1985,frozenset({'gonzalo macejkovic'}),gonzalo macejkovic,21700,14
21338,Kingdom Hearts,Reginia Weissnat,Textbook,Carlton Publishing Group,1997,frozenset({'reginia weissnat'}),reginia weissnat,21338,20
21522,Stranger in a Strange Land,Kasey Effertz,Folklore,Carnegie Mellon University Press,2026,frozenset({'kasey effertz'}),kasey effertz,21522,17
21375,Command & Conquer: Red Alert 3,Tyson Beer,Science fiction,Victor Gollancz Ltd,,frozenset({'tyson beer'}),tyson beer,21375,15
21357,3 Idiots,Sen. Amber Roberts,Legend,George Newnes,-1,frozenset({'sen. amber roberts'}),sen. amber roberts,21357,14
21927,The Intouchables,Curtis Rohan,Short story,Nonesuch Press,1992,frozenset({'curtis rohan'}),curtis rohan,21927,13
21509,A Scanner Darkly,"Brandi Cole, Veronique Carter",Science fiction,Pantheon Books at Random House,1966,"frozenset({'brandi cole', 'veronique carter'})","brandi cole,veronique carter",21509,26
21913,PokÃ©mon Gold,Ted Rutherford,Speech,Left Book Club,1978,frozenset({'ted rutherford'}),ted rutherford,21913,15
21934,Star Wars: Episode IV â€“ A New Hope,Caroyln Wilderman,Narrative nonfiction,Mascot Books,2000,frozenset({'caroyln wilderman'}),caroyln wilderman,21934,30
21987,Grease: The Original Soundtrack from the Motion Picture,Bob Treutel DDS,Science fiction,Heyday Books,1993,frozenset({'bob treutel dds'}),bob treutel dds,21987,9
21449,Their Greatest Hits (1971â€“1975),Zoila Christiansen,Historical fiction,Haynes Manuals,1991,frozenset({'zoila christiansen'}),zoila christiansen,21449,21
21492,What's Become of Waring,Yuette Parker,Biography/Autobiography,Pen and Sword Books,1985,frozenset({'yuette parker'}),yuette parker,21492,22
