id,title,author,genre,publisher,year,author_set,author_set_str,book_id,total_sold
20996,Call of Duty: Modern Warfare 3,"The Hon. Aurelio Spinka, Wanita Bernier, Gustavo Larkin",Fairy tale,Carlton Books,2019,"frozenset({'the hon. aurelio spinka', 'gustavo larkin', 'wanita bernier'})","gustavo larkin,the hon. aurelio spinka,wanita bernier",20996,34
21449,1,Huey Smith Sr.,Western,Kensington Books,1990,frozenset({'huey smith sr.'}),huey smith sr.,21449,26
21261,Command & Conquer: Tiberium Alliances,"Tifany Dickens, Mariella Zboncak DVM, Karan Abernathy",Historical fiction,Harper & Row,1979,"frozenset({'mariella zboncak dvm', 'karan abernathy', 'tifany dickens'})","karan abernathy,mariella zboncak dvm,tifany dickens",21261,14
20985,Wildfire at Midnight,"Yael Kunze, Ms. Bo Bergnaum",Suspense/Thriller,Library of America,2020,"frozenset({'ms. bo bergnaum', 'yael kunze'})","ms. bo bergnaum,yael kunze",20985,26
21137,Super Mario Odyssey,"Dante Kreiger, Levi Crona PhD",Legend,Oberon Books,1982,"frozenset({'dante kreiger', 'levi crona phd'})","dante kreiger,levi crona phd",21137,17
21363,Fear and Trembling,Sen. Robena Yost,Biography/Autobiography,Ace Books,1993,frozenset({'sen. robena yost'}),sen. robena yost,21363,18
20957,Wii Sports Resort,Laveta Marks,Textbook,Schocken Books,2023,frozenset({'laveta marks'}),laveta marks,20957,12
21448,Waiting for the Barbarians,"Gov. Numbers Sawayn, Phylicia Runolfsson",Western,Emerald Group Publishing,2013,"frozenset({'phylicia runolfsson', 'gov. numbers sawayn'})","gov. numbers sawayn,phylicia runolfsson",21448,23
21275,Just Cause 2,"Msgr. Kenna Dooley, Rep. Trenton Leuschke",Folklore,Velazquez Press,1892,"frozenset({'rep. trenton leuschke', 'msgr. kenna dooley'})","msgr. kenna dooley,rep. trenton leuschke",21275,18
21631,Shall not Perish,Yulanda McKenzie,Reference book,Parragon,1979,frozenset({'yulanda mckenzie'}),yulanda mckenzie,21631,22
20959,Dungeon Keeper,Fr. Dallas Lebsack,Fantasy,Carcanet Press,1937,frozenset({'fr. dallas lebsack'}),fr. dallas lebsack,20959,16
21070,Highway Blossoms,Elanor Treutel,Science fiction,Atheneum Books,1999,frozenset({'elanor treutel'}),elanor treutel,21070,25
21110,The Last Temptation,Dr. Cora MacGyver,Realistic fiction,HarperCollins,2002,frozenset({'dr. cora macgyver'}),dr. cora macgyver,21110,5
21581,The Green Mile,Lessie Torp,Western,Shire Books,2022,frozenset({'lessie torp'}),lessie torp,21581,15
21297,Doom,"Jerry Goyette, Meredith Runte, Dwight Bartoletti",Reference book,Ian Allan Publishing,2006,"frozenset({'meredith runte', 'jerry goyette', 'dwight bartoletti'})","dwight bartoletti,jerry goyette,meredith runte",21297,13
21609,The Big Lebowski,"Levi Crona PhD, Dante Kreiger",Metafiction,Brill,2011,"frozenset({'dante kreiger', 'levi crona phd'})","dante kreiger,levi crona phd",21609,13
21340,PokÃ©mon HeartGold,"Noreen Ebert, Karisa Lowe Sr., Arthur O'Keefe",Biography/Autobiography,Churchill Livingstone,1986,"frozenset({'noreen ebert', 'karisa lowe sr.', ""arthur o'keefe""})","arthur o'keefe,karisa lowe sr.,noreen ebert",21340,24
21041,Some Like It Hot,Trey Satterfield,Mythopoeia,Ace Books,1978,frozenset({'trey satterfield'}),trey satterfield,21041,27
21462,True Blue,Bobby Goldner,Classic,John Blake Publishing,2016,frozenset({'bobby goldner'}),bobby goldner,21462,25
21374,Mario Kart 7,Ann Beier,Mythopoeia,D. Reidel,1909,frozenset({'ann beier'}),ann beier,21374,25
21118,Judgment at Nuremberg,Sterling Herman,Textbook,DAW Books,2021,frozenset({'sterling herman'}),sterling herman,21118,9
21587,Left 4 Dead,Brianna O'Conner,Fiction narrative,O'Reilly Media,2020,"frozenset({""brianna o'conner""})",brianna o'conner,21587,35
21058,BioShock,Burl Mayert,Fanfiction,O'Reilly Media,1848,frozenset({'burl mayert'}),burl mayert,21058,31
20950,Halo 3,Msgr. Jame Auer,Realistic fiction,Anova Books,2005,frozenset({'msgr. jame auer'}),msgr. jame auer,20950,23
21628,The Shawshank Redemption,The Hon. Mickey Lebsack,Essay,Nonesuch Press,1918,frozenset({'the hon. mickey lebsack'}),the hon. mickey lebsack,21628,22
21511,Falling into You,Antonia Wiegand,Fiction narrative,Sidgwick & Jackson,1999,frozenset({'antonia wiegand'}),antonia wiegand,21511,22
21370,Yoshi's Wooly World,Mitchell Kerluke,Metafiction,Verso Books,1997,frozenset({'mitchell kerluke'}),mitchell kerluke,21370,26
21085,Infinite Jest,"Jose O'Kon IV, Malik Halvorson Esq., Man Jakubowski",Western,Horizon Scientific Press,1982,"frozenset({'man jakubowski', 'malik halvorson esq.', ""jose o'kon iv""})","jose o'kon iv,malik halvorson esq.,man jakubowski",21085,12
21005,Dwarf Fortress,Kerry Marquardt VM,Historical fiction,Dalkey Archive Press,2009,frozenset({'kerry marquardt vm'}),kerry marquardt vm,21005,13
21077,PokÃ©mon Ruby,Marquis Rau PhD,Fable,Gay Men's Press,1981,frozenset({'marquis rau phd'}),marquis rau phd,21077,20
21324,The Grapes of Wrath,Pam Schoen,Reference book,Atheneum Publishers,2026,frozenset({'pam schoen'}),pam schoen,21324,11
21641,Jaws,Blake Kuphal,Metafiction,Happy House,1979,frozenset({'blake kuphal'}),blake kuphal,21641,6
21006,The Matrix,Prof. Bo Spinka,Textbook,UCL Press,2005,frozenset({'prof. bo spinka'}),prof. bo spinka,21006,11
21427,"If Not Now, When?",Julius Wunsch V,Metafiction,George Newnes,2003,frozenset({'julius wunsch v'}),julius wunsch v,21427,20
21492,Edna O'Brien,Norman Jacobs III,Fanfiction,Boydell & Brewer,2024,frozenset({'norman jacobs iii'}),norman jacobs iii,21492,17
21150,Mr Standfast,Julius Wunsch V,Classic,Hogarth Press,2000,frozenset({'julius wunsch v'}),julius wunsch v,21150,21
21163,Citizen Kane,Angel Schneider,Metafiction,Koren Publishers Jerusalem,1840,frozenset({'angel schneider'}),angel schneider,21163,18
20927,The Mermaids Singing,Kelle Lubowitz,Suspense/Thriller,,2014,frozenset({'kelle lubowitz'}),kelle lubowitz,20927,9
21063,Fargo,"Bennett Ernser, Gerald Altenwerth IV",Crime/Detective,Athabasca University Press,1998,"frozenset({'bennett ernser', 'gerald altenwerth iv'})","bennett ernser,gerald altenwerth iv",21063,18
21234,Braveheart,Johanna Dietrich,Suspense/Thriller,Chatto and Windus,0,frozenset({'johanna dietrich'}),johanna dietrich,21234,15
21021,Far From the Madding Crowd,Cecilia Stehr,Tall tale,Shuter & Shooter Publishers,1994,frozenset({'cecilia stehr'}),cecilia stehr,21021,18
21185,Diablo II,Rep. Hilario Collins,Narrative nonfiction,Manor House Publishing,1877,frozenset({'rep. hilario collins'}),rep. hilario collins,21185,16
21183,Time of our Darkness,Rev. Lura Jaskolski,Fiction in verse,Matthias Media,2023,frozenset({'rev. lura jaskolski'}),rev. lura jaskolski,21183,19
21281,The Kid,Rep. Albert Stamm,Fable,Pecan Grove Press,1977,frozenset({'rep. albert stamm'}),rep. albert stamm,21281,31
21553,Good Will Hunting,Antonia Wiegand,Mythopoeia,Athabasca University Press,1986,frozenset({'antonia wiegand'}),antonia wiegand,21553,15
21010,Desperados III,The Hon. Jeffry Altenwerth,Narrative nonfiction,"Harry N. Abrams, Inc.",1985,frozenset({'the hon. jeffry altenwerth'}),the hon. jeffry altenwerth,21010,7
20973,Minecraft,Joselyn Dietrich,Realistic fiction,Bloomsbury Publishing Plc,1987,frozenset({'joselyn dietrich'}),joselyn dietrich,20973,19
21066,A Time to Kill,Raleigh Fay Sr.,Biography/Autobiography,Bloomsbury Publishing Plc,2022,frozenset({'raleigh fay sr.'}),raleigh fay sr.,21066,32
20923,Little Hands Clapping,Cleveland Rice,Horror,University of Alaska Press,2005,frozenset({'cleveland rice'}),cleveland rice,20923,23
21311,Stalker,"Frances Carter, Arthur O'Keefe I",Legend,"Farrar, Straus & Giroux",2014,"frozenset({'frances carter', ""arthur o'keefe i""})","arthur o'keefe i,frances carter",21311,17
21145,In Death Ground,Vito Deckow,Mythopoeia,Heyday Books,2003,frozenset({'vito deckow'}),vito deckow,21145,13
21149,X&Y,Malik Stoltenberg,Textbook,Mark Batty Publisher,1989,frozenset({'malik stoltenberg'}),malik stoltenberg,21149,15
21146,PokÃ©mon Sapphire,Cornelia Balistreri DDS,Short story,Hogarth Press,1931,frozenset({'cornelia balistreri dds'}),cornelia balistreri dds,21146,21
20967,Gold: Greatest Hits,Ardath Graham,Fantasy,Sidgwick & Jackson,2025,frozenset({'ardath graham'}),ardath graham,20967,18
21076,Command & Conquer: Red Alert 2,Wilfred Bartell DVM,Essay,University of Minnesota Press,1976,frozenset({'wilfred bartell dvm'}),wilfred bartell dvm,21076,28
21515,A Darkling Plain,Jaye Goyette,Biography/Autobiography,Harcourt Assessment,2010,frozenset({'jaye goyette'}),jaye goyette,21515,9
21432,FranÃ§oise Sagan,Rep. Felicita Ortiz,Classic,Harlequin Enterprises Ltd,1995,frozenset({'rep. felicita ortiz'}),rep. felicita ortiz,21432,30
20968,For a Breath I Tarry,Keli McClure LLD,Suspense/Thriller,Matthias Media,1971,frozenset({'keli mcclure lld'}),keli mcclure lld,20968,15
20936,The Help,Jose O'Kon IV,Historical fiction,Atheneum Books,1873,"frozenset({""jose o'kon iv""})",jose o'kon iv,20936,30
21635,Spirited Away,Edwina O'Hara,Textbook,Basic Books,1999,"frozenset({""edwina o'hara""})",edwina o'hara,21635,22
21195,Sleep the Brave,"Malik Halvorson Esq., Man Jakubowski",Western,Da Capo Press,2015,"frozenset({'man jakubowski', 'malik halvorson esq.'})","malik halvorson esq.,man jakubowski",21195,32
21377,Casablanca,Rep. Hilario Collins,Speech,Cengage Learning,1997,frozenset({'rep. hilario collins'}),rep. hilario collins,21377,25
21369,Super Smash Bros. Brawl,Royal Abbott,Textbook,Mandrake Press,2026,frozenset({'royal abbott'}),royal abbott,21369,33
21048,Where Angels Fear to Tread,Son Schuster,Legend,Atheneum Publishers,1994,frozenset({'son schuster'}),son schuster,21048,26
21317,City of God,Julian Lind,Mythopoeia,Simon & Schuster,2011,frozenset({'julian lind'}),julian lind,21317,29
21382,A Handful of Dust,Emery Berge,Fable,Scholastic Press,2026,frozenset({'emery berge'}),emery berge,21382,18
21265,Modern Times,"Luigi Brekke, Keven Treutel, Ronald Simonis",Suspense/Thriller,Belknap Press,2018,"frozenset({'keven treutel', 'ronald simonis', 'luigi brekke'})","keven treutel,luigi brekke,ronald simonis",21265,11
21258,The Waste Land,Man Medhurst,Realistic fiction,Berkley Books,2021,frozenset({'man medhurst'}),man medhurst,21258,21
21122,Call of Duty: Black Ops II,Gov. Len Considine,Short story,George Routledge & Sons,2002,frozenset({'gov. len considine'}),gov. len considine,21122,25
21233,Nine Coaches Waiting,Brianna O'Conner,Humor,Matthias Media,1993,"frozenset({""brianna o'conner""})",brianna o'conner,21233,21
21316,Gone with the Wind,"Dante Kreiger, Levi Crona PhD",Mystery,Chronicle Books,2021,"frozenset({'dante kreiger', 'levi crona phd'})","dante kreiger,levi crona phd",21316,23
20983,WALLÂ·E,Al Wunsch,Biography/Autobiography,David & Charles,1880,frozenset({'al wunsch'}),al wunsch,20983,24
21431,Supernatural,Albert Konopelski,Humor,Zed Books,2024,frozenset({'albert konopelski'}),albert konopelski,21431,15
21357,Of Mice and Men,Rep. Devon Gerhold,Fairy tale,,2006,frozenset({'rep. devon gerhold'}),rep. devon gerhold,21357,17
20953,Mary and Max,"Cammie Friesen CPA, Stella Emmerich",Textbook,Firebrand Books,1987,"frozenset({'stella emmerich', 'cammie friesen cpa'})","cammie friesen cpa,stella emmerich",20953,17
21398,PokÃ©mon Yellow,"Thurman Borer JD, Lissa Terry",Comic/Graphic Novel,Apress,1988,"frozenset({'thurman borer jd', 'lissa terry'})","lissa terry,thurman borer jd",21398,32
21347,"The Good, the Bad and the Ugly","Tamatha Treutel DO, Alvin Schmitt, Antoine Dach",Fairy tale,Ignatius Press,2016,"frozenset({'antoine dach', 'tamatha treutel do', 'alvin schmitt'})","alvin schmitt,antoine dach,tamatha treutel do",21347,23
21104,Super Mario Galaxy 2,Bobby Goldner,Fairy tale,Chronicle Books,1977,frozenset({'bobby goldner'}),bobby goldner,21104,23
21207,Taming a Sea Horse,The Hon. Clement Considine,Comic/Graphic Novel,Bellevue Literary Press,2003,frozenset({'the hon. clement considine'}),the hon. clement considine,21207,22
20991,Songs About Jane,Paulette Marquardt MD,Textbook,Eel Pie Publishing,1923,frozenset({'paulette marquardt md'}),paulette marquardt md,20991,14
21516,Great Work of Time,Charley Wehner IV,Historical fiction,,2011,frozenset({'charley wehner iv'}),charley wehner iv,21516,14
21346,The Bridge on the River Kwai,Dudley Barton,Mystery,Berkley Books,2000,frozenset({'dudley barton'}),dudley barton,21346,21
21555,Inglourious Basterds,Harris Trantow,Essay,Harcourt Trade Publishers,1997,frozenset({'harris trantow'}),harris trantow,21555,19
21068,Brothers in Arms,Man Medhurst,Speech,E. P. Dutton,1987,frozenset({'man medhurst'}),man medhurst,21068,24
21209,An Acceptable Time,Leandro Hyatt,Essay,Harper & Row,1999,frozenset({'leandro hyatt'}),leandro hyatt,21209,18
21061,PokÃ©mon Sword,Margot Kassulke,Mystery,Indiana University Press,2013,frozenset({'margot kassulke'}),margot kassulke,21061,22
20990,Taxi Driver,Charley Wehner IV,Fiction in verse,McGraw-Hill Education,1986,frozenset({'charley wehner iv'}),charley wehner iv,20990,23
21545,I Dreamed a Dream,Carlos Mann DVM,Fiction narrative,Black Sparrow Books,1984,frozenset({'carlos mann dvm'}),carlos mann dvm,21545,21
21278,Katamari Damacy,"Maxwell MacGyver, Breanne McCullough",Metafiction,Pecan Grove Press,1984,"frozenset({'breanne mccullough', 'maxwell macgyver'})","breanne mccullough,maxwell macgyver",21278,12
21506,Moab Is My Washpot,Bradley Bruen II,Biography/Autobiography,NavPress,1851,frozenset({'bradley bruen ii'}),bradley bruen ii,21506,12
21444,The Yellow Meads of Asphodel,"Tamatha Treutel DO, Alvin Schmitt, Antoine Dach",Science fiction,Seagull Books,1998,"frozenset({'antoine dach', 'tamatha treutel do', 'alvin schmitt'})","alvin schmitt,antoine dach,tamatha treutel do",21444,12
21232,An Evil Cradling,Al Wunsch,Fable,Shire Books,2015,frozenset({'al wunsch'}),al wunsch,21232,22
21079,Whitney,Rev. Lura Jaskolski,Science fiction,Verso Books,1986,frozenset({'rev. lura jaskolski'}),rev. lura jaskolski,21079,14
21613,To a God Unknown,"Anibal Ledner, Elenor Walsh, Myrtle Bednar",Essay,Harper & Brothers,2019,"frozenset({'elenor walsh', 'myrtle bednar', 'anibal ledner'})","anibal ledner,elenor walsh,myrtle bednar",21613,19
21476,Command & Conquer 4: Tiberian Twilight,Mr. Faustino Gerhold,Speech,Felony & Mayhem Press,2023,frozenset({'mr. faustino gerhold'}),mr. faustino gerhold,21476,24
21131,Nevermind,"Cleveland Rice, Wilfred Bartell DVM",Comic/Graphic Novel,Ace Books,2011,"frozenset({'cleveland rice', 'wilfred bartell dvm'})","cleveland rice,wilfred bartell dvm",21131,19
21404,Abbey Road,Kristofer Hermann,Biography/Autobiography,Salt Publishing,2013,frozenset({'kristofer hermann'}),kristofer hermann,21404,24
21280,Super Smash Bros. Melee,Miss Christa Corwin,Mythology,D. Reidel,2017,frozenset({'miss christa corwin'}),miss christa corwin,21280,31
20942,Super Mario Bros. 2,Raleigh Fay Sr.,Science fiction,George Routledge & Sons,1897,frozenset({'raleigh fay sr.'}),raleigh fay sr.,20942,18
21474,PokÃ©mon Black,"Jeffrey Will, Joselyn Dietrich",Essay,Hodder Headline,1976,"frozenset({'jeffrey will', 'joselyn dietrich'})","jeffrey will,joselyn dietrich",21474,20
20986,3 Idiots,"Brianna O'Conner, Wilson Beahan",Crime/Detective,Black Dog Publishing,2014,"frozenset({'wilson beahan', ""brianna o'conner""})","brianna o'conner,wilson beahan",20986,10
21003,Vertigo,Fredrick Ebert,Western,Gaspereau Press,2005,frozenset({'fredrick ebert'}),fredrick ebert,21003,17
20999,Blade Runner,Harris Trantow,Classic,Parragon,1989,frozenset({'harris trantow'}),harris trantow,20999,24
21091,Sholay,"Robbie Luettgen, Gene Beahan, Estelle Altenwerth",Realistic fiction,Burns & Oates,2010,"frozenset({'gene beahan', 'estelle altenwerth', 'robbie luettgen'})","estelle altenwerth,gene beahan,robbie luettgen",21091,21
20958,Ice Climbers,Yulanda McKenzie,Comic/Graphic Novel,Manning Publications,1991,frozenset({'yulanda mckenzie'}),yulanda mckenzie,20958,31
21148,Antic Hay,Josiah Watsica,Horror,Ziff Davis Media,1983,frozenset({'josiah watsica'}),josiah watsica,21148,25
21570,The House of Mirth,"Wilfred Bartell DVM, Rep. Albert Stamm",Horror,Sams Publishing,1974,"frozenset({'wilfred bartell dvm', 'rep. albert stamm'})","rep. albert stamm,wilfred bartell dvm",21570,27
21365,Cross Road,"Noma Kris VM, Tony Schmeler",Fiction narrative,NavPress,2008,"frozenset({'tony schmeler', 'noma kris vm'})","noma kris vm,tony schmeler",21365,25
21301,By Grand Central Station I Sat Down and Wept,Edwina O'Hara,Suspense/Thriller,Tammi,2008,"frozenset({""edwina o'hara""})",edwina o'hara,21301,30
21632,Cinema Paradiso,Odis Quigley,Fiction in verse,Golden Cockerel Press,2005,frozenset({'odis quigley'}),odis quigley,21632,20
21622,PokÃ©mon Ultra Sun,Amb. Beckie Macejkovic,Metafiction,ECW Press,2002,frozenset({'amb. beckie macejkovic'}),amb. beckie macejkovic,21622,21
21339,Half-Life: Opposing Force,Cornelia Balistreri DDS,Folklore,Churchill Livingstone,2003,frozenset({'cornelia balistreri dds'}),cornelia balistreri dds,21339,22
21534,The Golden Bowl,"Solomon Roob, Leda Raynor JD",Short story,Horizon Scientific Press,1985,"frozenset({'leda raynor jd', 'solomon roob'})","leda raynor jd,solomon roob",21534,29
21573,Riot!,Jaimie Skiles,Short story,,2026,frozenset({'jaimie skiles'}),jaimie skiles,21573,29
21084,East of Eden,Brianna O'Conner,Comic/Graphic Novel,Athabasca University Press,2000,"frozenset({""brianna o'conner""})",brianna o'conner,21084,31
21170,Max Payne 2: The Fall of Max Payne,Cecilia Stehr,Essay,Charles Scribner's Sons,1933,frozenset({'cecilia stehr'}),cecilia stehr,21170,24
21593,Transistor,Miss Elmo Walsh,Short story,University of Michigan Press,1988,frozenset({'miss elmo walsh'}),miss elmo walsh,21593,28
21477,Music Box,Celeste Cormier PhD,Mythology,Black Sparrow Books,1987,frozenset({'celeste cormier phd'}),celeste cormier phd,21477,16
20994,PokÃ©mon Y,Tai Berge,Horror,Zed Books,2011,frozenset({'tai berge'}),tai berge,20994,22
21508,Halo 5: Guardians,Mrs. Leia Reilly,Fairy tale,UCL Press,2010,frozenset({'mrs. leia reilly'}),mrs. leia reilly,21508,18
20962,Groundhog Day,Raleigh Fay Sr.,Mythology,Harvard University Press,1988,frozenset({'raleigh fay sr.'}),raleigh fay sr.,20962,20
21376,No Jacket Required,"Tamatha Treutel DO, Alvin Schmitt, Antoine Dach",Folklore,New Holland Publishers,2009,"frozenset({'antoine dach', 'tamatha treutel do', 'alvin schmitt'})","alvin schmitt,antoine dach,tamatha treutel do",21376,5
21135,A Scanner Darkly,"Robbie Luettgen, Estelle Altenwerth, Gene Beahan",Mythopoeia,Liberty Fund,2004,"frozenset({'gene beahan', 'estelle altenwerth', 'robbie luettgen'})","estelle altenwerth,gene beahan,robbie luettgen",21135,37
21231,The Shining,Fr. Dallas Lebsack,Crime/Detective,Anova Books,1985,frozenset({'fr. dallas lebsack'}),fr. dallas lebsack,21231,27
21407,Touch of Evil,Fidel Hettinger,Suspense/Thriller,Paulist Press,1949,frozenset({'fidel hettinger'}),fidel hettinger,21407,31
21653,Everything is Illuminated,Vito Deckow,Fairy tale,Tammi,2014,frozenset({'vito deckow'}),vito deckow,21653,19
21341,Star Wars: Episode IV â€“ A New Hope,"Sen. Trula Bosco, Hershel Treutel, Miss Modesto Denesik",Legend,Dalkey Archive Press,1990,"frozenset({'hershel treutel', 'miss modesto denesik', 'sen. trula bosco'})","hershel treutel,miss modesto denesik,sen. trula bosco",21341,39
21514,Metropolis,Virgilio Bernier,Tall tale,,1980,frozenset({'virgilio bernier'}),virgilio bernier,21514,20
21306,The Godfather: Part II,Hyman Hegmann JD,Historical fiction,-,1991,frozenset({'hyman hegmann jd'}),hyman hegmann jd,21306,34
21224,Vampire: The Masquerade â€“ Bloodlines,"Rev. Iluminada Wolff, Florentino Jacobson",Tall tale,Burns & Oates,1981,"frozenset({'florentino jacobson', 'rev. iluminada wolff'})","florentino jacobson,rev. iluminada wolff",21224,15
21272,City Lights,Ruby Schowalter,Fairy tale,Ballantine Books,2003,frozenset({'ruby schowalter'}),ruby schowalter,21272,17
21059,The Bodyguard,Bobby Goldner,Metafiction,Berkley Books,1965,frozenset({'bobby goldner'}),bobby goldner,21059,22
21614,L.A. Noire,Cecilia Stehr,Essay,Carnegie Mellon University Press,2019,frozenset({'cecilia stehr'}),cecilia stehr,21614,18
21371,Desperados 2: Cooper's Revenge,Jonah Strosin,Western,Ziff Davis Media,1945,frozenset({'jonah strosin'}),jonah strosin,21371,22
